,Time,latitude,longitude,Depth,Total Log,Heading,STW,COG,SOG,TWD,TWA,TWS,AWA,AWS,AWS (max),Water Temperature,date,speed_delta,distance,log_entry,data,havens,vertrekhaven,tussenstop,aankomsthaven
984,2025-06-25 17:19:59,52.605845,5.1344966,3.9,365.5,90.8,4.0,120.2,4.3,193.0,102.2,5.8,64.0,6.3,6.3,20.0,2025-06-25,-0.6999999999999997,0.344609425724992,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
985,2025-06-25 17:25:00,52.6029616,5.1417333,3.96,365.7,97.4,3.2,127.9,3.6,193.5,96.1,4.0,55.5,4.9,5.3,20.0,2025-06-25,0.19999999999999973,0.3158652714513648,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
986,2025-06-25 17:30:00,52.6011333,5.1471216,3.89,366.0,86.1,3.2,124.4,3.8,193.4,107.3,4.9,69.5,5.0,5.0,20.0,2025-06-25,-3.3,0.22526286145892715,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
987,2025-06-25 17:35:00,52.6015233,5.1504033,3.87,366.0,313.7,0.0,83.6,0.5,246.2,-67.5,5.0,-67.5,5.0,5.0,20.0,2025-06-25,-0.4,0.1220439234808952,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
988,2025-06-25 17:40:00,52.6015266,5.1506083,4.07,366.0,276.1,0.0,,0.1,262.1,,,-14.0,4.3,4.4,20.5,2025-06-25,0.0,0.007484505873386963,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
989,2025-06-25 18:44:00,52.6014933,5.1505533,3.82,366.0,299.0,0.0,,0.1,328.5,,,29.5,2.0,2.1,20.5,2025-06-25,-0.1,0.0028343611531527093,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
990,2025-06-25 19:39:00,52.60146,5.1505033,3.73,366.0,329.6,0.0,,0.0,336.1,,,6.5,2.0,2.2,21.0,2025-06-25,0.6,0.002708189928371583,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
991,2025-06-25 19:56:00,52.6014916,5.150425,3.85,366.0,315.7,0.0,278.1,0.6,294.2,-21.5,2.9,-21.5,2.9,3.0,21.0,2025-06-25,1.2000000000000002,0.0034310858894718264,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
992,2025-06-25 20:01:00,52.60144,5.150055,4.03,366.0,13.6,1.6,11.7,1.8,255.1,-118.5,4.5,-98.3,4.0,4.2,21.0,2025-06-25,0.9999999999999998,0.013855314801046825,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
993,2025-06-25 20:06:00,52.6049216,5.1495766,3.83,366.2,5.2,2.4,354.1,2.8,258.4,-106.8,5.3,-80.5,5.2,5.5,20.5,2025-06-25,-0.09999999999999964,0.20994246769108613,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
994,2025-06-25 20:11:00,52.6080616,5.14905,3.92,366.5,6.2,2.2,353.2,2.7,245.2,-121.0,4.3,-91.0,3.7,3.8,20.5,2025-06-25,0.09999999999999964,0.1896639643788289,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
995,2025-06-25 20:16:00,52.6116316,5.1465016,3.84,366.6,349.6,2.6,331.4,2.8,251.2,-98.4,6.2,-74.5,6.3,6.4,20.5,2025-06-25,-1.6999999999999997,0.23381474394725302,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
996,2025-06-25 20:21:00,52.6143016,5.1437333,3.64,366.8,265.0,0.8,227.3,1.1,252.9,-12.1,3.5,-9.8,4.3,4.8,20.5,2025-06-25,1.1999999999999997,0.1895921504609518,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
997,2025-06-25 20:26:00,52.6123383,5.1403633,3.89,367.0,292.2,2.2,253.2,2.3,281.3,-10.9,3.7,-6.8,5.9,5.9,20.5,2025-06-25,-0.3999999999999999,0.17040651401551035,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
998,2025-06-25 20:31:00,52.6116033,5.1351933,3.74,367.1,289.3,2.0,253.0,1.9,278.1,-11.2,2.8,-6.5,4.8,4.8,20.5,2025-06-25,0.3999999999999999,0.19374581025047163,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
999,2025-06-25 20:36:00,52.6105633,5.1301816,3.78,367.3,285.4,2.2,250.4,2.3,275.7,-9.7,2.8,-5.5,5.0,5.1,20.5,2025-06-25,-0.3999999999999999,0.19325582729495402,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1000,2025-06-25 20:41:00,52.6100716,5.1263033,3.95,367.5,4.0,1.6,351.2,1.9,280.2,-83.8,5.1,-67.0,5.5,5.7,20.5,2025-06-25,0.0,0.14456939889326298,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1001,2025-06-25 20:46:00,52.61302,5.1268433,3.88,367.6,8.0,1.8,357.9,1.9,284.2,-83.8,4.9,-64.5,5.4,5.6,20.5,2025-06-25,1.1,0.17826660974331143,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1002,2025-06-25 20:51:00,52.613025,5.121715,3.65,367.8,302.8,2.7,264.9,3.0,310.0,7.2,3.3,4.0,6.0,6.1,20.5,2025-06-25,0.5,0.18711850947866912,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1003,2025-06-25 20:56:00,52.612815,5.1150733,3.65,368.0,279.5,3.1,249.1,3.5,316.6,37.1,2.6,17.0,5.5,5.6,20.5,2025-06-25,0.0,0.24266718475860022,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1004,2025-06-25 21:01:00,52.6152283,5.1121316,3.5,368.2,317.6,3.3,315.1,3.5,279.2,-38.4,4.4,-22.0,7.3,7.3,20.5,2025-06-25,1.0,0.1804185485342868,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1005,2025-06-25 21:06:00,52.6187283,5.1057516,3.39,368.5,323.5,4.2,311.5,4.5,270.8,-52.7,4.5,-27.5,7.8,7.9,20.5,2025-06-25,0.09999999999999964,0.313713333447156,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1006,2025-06-25 21:11:00,52.62295,5.0980683,3.27,368.8,327.1,4.4,312.1,4.6,277.4,-49.7,4.2,-24.5,7.8,7.8,20.5,2025-06-25,-0.09999999999999964,0.37805103715636307,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1007,2025-06-25 21:16:00,52.6271766,5.090375,3.29,369.2,328.3,4.2,313.1,4.5,330.0,1.7,5.6,1.0,9.8,9.8,20.5,2025-06-25,0.09999999999999964,0.37849902017176723,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1008,2025-06-25 21:21:00,52.6299733,5.0812033,3.38,369.5,294.2,4.2,285.3,4.6,349.9,55.7,2.5,20.5,6.0,6.0,20.0,2025-06-25,0.0,0.3743736353532638,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1009,2025-06-25 21:26:00,52.6317116,5.0710266,3.13,370.0,302.3,4.4,284.9,4.6,36.3,94.0,2.0,26.0,4.7,4.7,20.5,2025-06-25,-0.09999999999999964,0.3855885796431415,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1010,2025-06-25 21:31:00,52.6352583,5.06457,3.05,370.3,12.0,4.4,356.7,4.5,285.7,-86.3,1.7,-21.0,4.8,6.1,20.5,2025-06-25,-4.5,0.317602529709271,2025-06-25 - Hoorn - Hoorn.md,2025-06-25,- Hoorn - Hoorn, Hoorn ,, Hoorn
1011,2025-06-27 11:59:00,52.6379533,5.06646,2.75,370.0,64.9,0.0,,0.0,165.4,,,100.5,7.2,8.8,20.0,2025-06-27,,0.1760039228169524,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1012,2025-06-27 12:30:00,52.63795,5.0663366,2.67,370.0,,,,,,,,,,3.2,,2025-06-27,,0.004504346868230921,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1013,2025-06-27 12:35:00,52.6362983,5.0642783,3.23,370.0,,,,,,,,,,5.0,,2025-06-27,,0.12444012630588906,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1014,2025-06-27 12:40:00,52.6345133,5.06443,3.31,370.1,,2.0,180.4,2.2,213.1,32.7,3.9,22.0,5.7,7.0,20.0,2025-06-27,2.8,0.10740623410269268,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1015,2025-06-27 12:45:00,52.6318566,5.0686766,3.21,370.3,91.2,4.5,105.0,5.0,135.7,44.5,4.4,22.0,8.3,9.9,20.0,2025-06-27,0.0,0.2224258993792421,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1016,2025-06-27 12:50:00,52.62982,5.079185,3.32,370.6,95.2,4.7,111.6,5.0,151.9,56.7,4.6,28.0,8.2,9.0,19.5,2025-06-27,-0.40000000000000036,0.4023330898216968,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1017,2025-06-27 12:55:00,52.627575,5.0893,3.26,371.0,97.1,4.5,113.0,4.6,185.8,88.7,5.9,51.5,7.5,7.6,19.5,2025-06-27,0.6000000000000005,0.392829061699936,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1018,2025-06-27 13:00:00,52.6246633,5.09956,3.29,371.3,,4.7,121.0,5.2,197.4,76.4,6.5,45.5,8.9,8.9,19.5,2025-06-27,0.39999999999999947,0.4131297115115019,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1019,2025-06-27 13:05:00,52.621455,5.1102533,3.62,371.7,104.0,4.9,118.6,5.6,198.4,94.4,9.2,65.5,10.1,10.7,19.5,2025-06-27,0.40000000000000036,0.4351230950982399,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1020,2025-06-27 13:10:00,52.6181383,5.120125,3.39,372.1,104.1,5.3,118.7,6.0,212.7,108.6,12.6,84.0,12.0,12.0,19.5,2025-06-27,0.20000000000000018,0.4116083609539314,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1021,2025-06-27 13:15:00,52.6151433,5.1326133,3.83,372.6,88.7,5.6,106.8,6.2,196.0,107.3,11.8,79.5,11.5,11.5,19.5,2025-06-27,-1.2999999999999998,0.48988522373015747,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1022,2025-06-27 13:20:00,52.6121066,5.1448033,3.75,373.0,200.5,5.3,182.6,4.9,217.5,17.0,10.8,11.5,15.9,15.9,19.5,2025-06-27,0.09999999999999964,0.4807535975939659,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1023,2025-06-27 13:25:00,52.6092866,5.1533683,3.94,373.3,96.3,4.9,109.1,5.0,215.9,119.6,9.9,90.0,8.6,9.3,19.5,2025-06-27,0.5,0.35551634722298714,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1024,2025-06-27 13:30:00,52.6056016,5.165095,3.84,373.8,119.5,4.5,130.9,5.5,232.5,113.0,12.6,92.0,11.6,11.6,19.5,2025-06-27,-1.6,0.4818296384784142,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1025,2025-06-27 13:35:00,52.6101783,5.1713183,4.17,374.2,323.0,4.2,311.9,3.9,221.5,-101.5,16.6,-87.0,16.3,16.3,19.5,2025-06-27,0.8000000000000003,0.35666602528358526,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1026,2025-06-27 13:40:00,52.61176,5.1716433,3.91,374.3,61.3,4.2,45.8,4.7,247.3,-174.0,16.4,-172.0,12.3,12.3,19.5,2025-06-27,0.5,0.09578398022122284,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1027,2025-06-27 13:45:00,52.6163783,5.1801366,3.66,374.7,42.0,4.7,50.9,5.2,206.3,164.3,17.0,158.5,12.5,15.4,19.5,2025-06-27,0.39999999999999947,0.4159934223460581,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1028,2025-06-27 13:50:00,52.6219666,5.1897916,3.65,375.1,44.3,5.4,49.8,5.6,213.9,169.6,19.0,165.5,13.7,13.9,19.5,2025-06-27,0.10000000000000053,0.48666104563791823,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1029,2025-06-27 13:55:00,52.6271583,5.1987633,3.75,375.5,40.6,4.9,46.0,5.7,219.8,179.2,17.1,179.0,12.2,14.1,19.5,2025-06-27,-0.7000000000000002,0.4521441854053114,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1030,2025-06-27 14:00:00,52.6322116,5.2078016,3.75,376.0,40.3,4.4,47.8,5.0,218.0,177.7,16.7,177.0,12.4,12.4,19.5,2025-06-27,-0.20000000000000018,0.44820183191936674,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1031,2025-06-27 14:05:00,52.6371766,5.2167833,3.52,376.3,45.2,4.9,48.4,4.8,236.1,-169.1,17.7,-165.0,12.9,12.9,19.5,2025-06-27,0.40000000000000036,0.44306785426115186,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1032,2025-06-27 14:10:00,52.6426666,5.22463,3.25,376.7,37.6,4.4,38.3,5.2,230.6,-167.0,19.7,-163.5,15.5,15.5,19.5,2025-06-27,-0.20000000000000018,0.4366994475052951,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1033,2025-06-27 14:15:00,52.648445,5.2315083,3.61,377.1,33.4,4.9,31.9,5.0,220.6,-172.8,16.8,-170.0,12.0,14.9,19.5,2025-06-27,-1.7000000000000002,0.42832728879563936,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1034,2025-06-27 14:20:00,52.65452,5.2373433,2.94,377.5,31.5,3.6,29.9,3.3,228.7,-162.8,10.7,-154.5,7.4,7.4,19.5,2025-06-27,1.7000000000000002,0.4225104319667042,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1035,2025-06-27 14:25:00,52.659965,5.2430483,3.01,377.8,37.2,4.2,39.1,5.0,226.5,-170.7,18.0,-168.0,13.9,13.9,19.5,2025-06-27,-0.09999999999999964,0.3876888511606025,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1036,2025-06-27 14:30:00,52.66566,5.2502266,3.16,378.2,36.0,4.4,39.0,4.9,211.9,175.9,16.5,174.5,12.2,12.2,19.5,2025-06-27,0.0,0.4307676310188692,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1037,2025-06-27 14:35:00,52.671075,5.25808,3.62,378.6,41.3,4.7,45.6,4.9,206.6,165.3,12.1,156.5,7.7,13.9,19.5,2025-06-27,-0.10000000000000053,0.43334313837739036,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1038,2025-06-27 14:40:00,52.676335,5.2665783,2.74,379.0,39.9,4.2,43.1,4.8,216.4,176.5,17.2,175.5,13.1,13.1,19.5,2025-06-27,-0.2999999999999998,0.44248349852681546,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1039,2025-06-27 14:45:00,52.6818883,5.2748383,3.26,379.5,47.3,4.0,52.7,4.5,213.0,165.7,13.6,160.0,9.8,10.5,19.5,2025-06-27,-0.20000000000000018,0.4493548269654937,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1040,2025-06-27 14:50:00,52.6851783,5.2837333,3.42,379.7,84.7,4.0,83.5,4.3,204.8,120.1,9.5,95.5,8.3,9.5,19.5,2025-06-27,-0.8999999999999999,0.3795825900979498,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1041,2025-06-27 14:55:00,52.68855,5.2929066,2.83,380.1,64.6,3.0,48.1,3.4,212.3,147.7,12.4,138.5,10.0,10.6,19.5,2025-06-27,-3.3,0.3907737899520322,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1042,2025-06-27 15:00:00,52.6910866,5.2956516,4.29,380.3,61.3,0.0,,0.1,249.8,,,-171.5,15.9,16.3,19.5,2025-06-27,0.0,0.18229342693882325,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1043,2025-06-27 15:05:00,52.69112,5.295715,4.11,380.3,90.8,0.0,,0.1,283.3,,,-167.5,10.5,12.8,19.5,2025-06-27,4.800000000000001,0.0030595063323778206,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1044,2025-06-27 15:10:00,52.6963916,5.2956533,3.9,380.5,11.1,4.4,356.7,4.9,232.9,-138.2,13.2,-122.0,10.4,10.8,19.5,2025-06-27,0.39999999999999947,0.31678730271312183,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1045,2025-06-27 15:15:00,52.701955,5.3019983,3.1,381.0,51.3,4.9,48.1,5.3,211.0,159.7,14.9,150.5,10.5,10.5,20.0,2025-06-27,-2.5,0.40639033414086895,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1046,2025-06-27 15:20:00,52.704635,5.3014033,2.87,381.2,211.6,3.1,227.4,2.8,177.9,-33.7,9.2,-25.5,11.9,11.9,20.0,2025-06-27,-2.5999999999999996,0.1624964763951867,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1047,2025-06-27 16:21:00,52.7035916,5.2987266,3.07,381.0,247.1,0.0,,0.2,185.6,,,-61.5,2.4,2.4,20.0,2025-06-27,3.6999999999999997,0.11588866878243921,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1048,2025-06-27 16:26:00,52.7048383,5.3018417,2.89,381.0,,3.4,50.5,3.9,217.7,167.2,14.8,163.5,11.5,11.5,20.0,2025-06-27,,0.1359326350630394,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1049,2025-06-27 16:31:00,52.7017617,5.2998117,4.09,,,,,,,,,,,,,2025-06-27,,0.1991069230202599,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1050,2025-06-27 16:36:00,52.6955533,5.2951567,3.47,381.7,176.0,4.9,190.2,5.1,165.0,-11.0,12.8,-8.0,17.6,17.6,20.0,2025-06-27,-5.0,0.40977974993737015,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1051,2025-06-27 16:41:00,52.6910483,5.2953417,4.4,382.0,228.8,0.0,,0.1,255.3,,,26.5,13.0,13.2,20.0,2025-06-27,2.3,0.2707968815449713,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1052,2025-06-27 16:47:00,52.6905366,5.2952716,4.06,382.0,188.8,2.0,197.4,2.4,212.2,23.4,13.5,20.5,15.3,16.8,20.0,2025-06-27,1.2000000000000002,0.030854736390970385,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1053,2025-06-27 16:52:00,52.6869383,5.2901317,3.99,382.3,247.7,3.1,256.1,3.6,184.7,-63.0,14.1,-53.0,15.7,17.1,20.0,2025-06-27,-0.6000000000000001,0.28601527351954736,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1054,2025-06-27 16:57:00,52.686165,5.2841817,3.51,382.5,,2.3,261.3,3.0,189.2,-72.1,11.9,-62.5,12.8,13.3,20.0,2025-06-27,-0.2999999999999998,0.2216607869944209,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1055,2025-06-27 17:02:00,52.68482,5.2788433,3.42,382.6,,2.2,245.3,2.7,193.3,-52.0,14.8,-46.0,16.2,16.2,20.0,2025-06-27,1.8999999999999995,0.2105891013477097,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1056,2025-06-27 17:07:00,52.68057,5.2782783,2.34,383.0,169.6,4.5,167.1,4.6,181.7,12.1,8.7,8.0,13.2,13.2,20.0,2025-06-27,0.5,0.25621772601009696,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1057,2025-06-27 17:12:00,52.6737733,5.2803183,2.07,383.3,173.9,4.7,166.9,5.1,181.2,7.3,10.1,5.0,14.8,15.8,20.0,2025-06-27,0.5,0.4151329244492883,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1058,2025-06-27 17:17:00,52.6670733,5.2840817,2.6,383.6,,4.7,158.0,5.6,189.8,31.8,9.0,21.0,13.2,13.2,20.0,2025-06-27,-0.39999999999999947,0.4253289372940819,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1059,2025-06-27 17:22:00,52.6604917,5.2888917,2.11,384.0,156.6,4.7,158.7,5.2,197.0,40.4,6.8,24.0,10.8,11.3,20.0,2025-06-27,-0.40000000000000036,0.4326085755075845,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1060,2025-06-27 17:27:00,52.6538767,5.29359,2.32,384.5,149.8,4.7,155.9,4.8,180.7,30.9,7.4,19.0,11.7,11.7,20.0,2025-06-27,-0.2999999999999998,0.43282785071820473,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1061,2025-06-27 17:32:00,52.6475667,5.29843,2.97,384.8,,4.4,152.8,4.5,216.7,63.9,5.9,37.5,8.8,8.8,20.0,2025-06-27,0.9000000000000004,0.41822226223304837,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
1062,2025-06-27 17:37:00,52.641135,5.3024883,2.93,385.2,,4.7,171.7,5.4,193.5,21.8,11.4,15.5,15.9,15.9,20.0,2025-06-27,0.2999999999999998,0.4138492332632649,2025-06-27 - Hoorn - Enkhuizen - Marker Wadden.md,2025-06-27,- Hoorn - Enkhuizen - Marker Wadden, Hoorn , Enkhuizen , Marker Wadden
